"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"3","/10","Below average","Rios Elementary School","https://www.greatschools.org/california/el-cajon/5822-Rios-Elementary-School/","14314 Rios Canyon Road, El Cajon, CA, 92021","Public district","K-5","345","22:1","Cajon Valley Union School District"
"3","/10","Below average","El Cajon Valley High School","https://www.greatschools.org/california/el-cajon/5923-El-Cajon-Valley-High-School/","1035 East Madison Avenue, El Cajon, CA, 92021","Public district","9-12","1689","22:1","Grossmont Union High School District"
"2","/10","Below average","Cajon Valley Home School","https://www.greatschools.org/california/el-cajon/11831-Cajon-Valley-Home-School/","1384 Broadway, El Cajon, CA, 92021","Public district","K-8","54","24:1","Cajon Valley Union School District"
"2","/10","Below average","Diego Valley East Public Charter","https://www.greatschools.org/california/el-cajon/32708-Diego-Valley-East-Public-Charter/","511 North 2nd Street, El Cajon, CA, 92021","Public charter","K-12","552","N/A","Diego Valley East Public Charter District"
"2","/10","Below average","Chase Avenue Elementary School","https://www.greatschools.org/california/el-cajon/5804-Chase-Avenue-Elementary-School/","195 East Chase Avenue, El Cajon, CA, 92020","Public district","K-5","738","25:1","Cajon Valley Union School District"
"2","/10","Below average","Naranca Elementary School","https://www.greatschools.org/california/el-cajon/5820-Naranca-Elementary-School/","1030 Naranca Avenue, El Cajon, CA, 92021","Public district","K-5","821","25:1","Cajon Valley Union School District"
"","","Currently unrated","Sevick Special Education School","https://www.greatschools.org/california/el-cajon/12418-Sevick-Special-Education/","1609 East Madison Avenue, El Cajon, CA, 92019","Public district","Ungraded","13","19:1","Cajon Valley Union School District"
"","","Currently unrated","Foothills Adult Education Center","https://www.greatschools.org/california/el-cajon/14691-Foothills-Adult-Education-Center/","1550 Melody Lane, El Cajon, CA, 92019","Public district","Ungraded","N/A","N/A","Grossmont Union High School District"
"","","Currently unrated","El Cajon Adult Center","https://www.greatschools.org/california/el-cajon/14780-El-Cajon-Adult-Center/","1075 East Madison Avenue, El Cajon, CA, 92021","Public district","Ungraded","N/A","N/A","Grossmont Union High School District"
"","","Currently unrated","Diego Hills Charter School","https://www.greatschools.org/california/el-cajon/25111-Diego-Hills-Charter-School/","4612 Dehesa Road Room 11, El Cajon, CA, 92019","Public charter","K-12","61","2:1","Dehesa Elementary School District"
"","","Currently unrated","Diego Valley Charter","https://www.greatschools.org/california/el-cajon/25645-Diego-Valley-Charter/","511 North 2nd Street, El Cajon, CA, 92021","Public charter","K-12","455","14:1","Julian Union Elementary School District"
"","","Currently unrated","Grossmont Adult Center","https://www.greatschools.org/california/el-cajon/31038-Grossmont-Adult-Center/","1550 Melody Lane, El Cajon, CA, 92019","Public district","Ungraded","N/A","N/A","Grossmont Union High School District"
"","","Currently unrated","Chaparral High School","https://www.greatschools.org/california/el-cajon/5922-Chaparral-High-School/","1600 Cuyamaca Street, El Cajon, CA, 92020","Public district","9-12","53","12:1","Grossmont Union High School District"
