"circle-rating--small","rating-circle-small","scale","name","address","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 6","tablescraper-selected-row href 2"
"9","/10","Above average","Jonas Salk Elementary School","7825 Flanders Drive, San Diego, CA, 92126","K-5","661","21:1","https://www.greatschools.org/california/san-diego/32177-Jonas-Salk-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Carmel Del Mar Elementary School","12345 Carmel Park Drive, San Diego, CA, 92130","K-6","530","19:1","https://www.greatschools.org/california/san-diego/5876-Carmel-Del-Mar-Elementary-School/reviews/","Del Mar Union Elementary School District","https://www.greatschools.org/california/san-diego/del-mar-union-elementary-school-district/"
"9","/10","Above average","Adobe Bluffs Elementary School","8707 Adobe Bluffs Drive, San Diego, CA, 92129","K-5","430","18:1","https://www.greatschools.org/california/san-diego/6026-Adobe-Bluffs-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Canyon View Elementary School","9225 Adolphia Street, San Diego, CA, 92129","K-5","501","23:1","https://www.greatschools.org/california/san-diego/6029-Canyon-View-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Deer Canyon Elementary School","13455 Russet Leaf Lane, San Diego, CA, 92129","K-5","457","20:1","https://www.greatschools.org/california/san-diego/6031-Deer-Canyon-Elementary-School/#Reviews","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Los Penasquitos Elementary School","14125 Cuca Street, San Diego, CA, 92129","K-5","533","21:1","https://www.greatschools.org/california/san-diego/6034-Los-Penasquitos-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Mesa Verde Middle School","8375 Entreken Way, San Diego, CA, 92129","6-8","1339","26:1","https://www.greatschools.org/california/san-diego/6036-Mesa-Verde-Middle-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Mt. Carmel High School","9550 Carmel Mountain Road, San Diego, CA, 92129","9-12","1906","26:1","https://www.greatschools.org/california/san-diego/6039-Mt.-Carmel-High-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Park Village Elementary School","7930 Park Village Road, San Diego, CA, 92129","K-5","615","22:1","https://www.greatschools.org/california/san-diego/6041-Park-Village-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Rancho Bernardo High School","13010 Paseo Lucido, San Diego, CA, 92128","9-12","2373","26:1","https://www.greatschools.org/california/san-diego/6044-Rancho-Bernardo-High-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Rolling Hills Elementary School","15255 Penasquitos Drive, San Diego, CA, 92129","K-5","417","19:1","https://www.greatschools.org/california/san-diego/6045-Rolling-Hills-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"9","/10","Above average","Sundance Elementary School","8944 Twin Trails Drive, San Diego, CA, 92129","K-5","445","21:1","https://www.greatschools.org/california/san-diego/6047-Sundance-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
