"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"10","/10","Above average","Solana Vista Elementary School","https://www.greatschools.org/california/solana-beach/6275-Solana-Vista-Elementary-School/","780 Santa Victoria, Solana Beach, CA, 92075","Public district","K-3","343","15:1","Solana Beach Elementary School District"
"8","/10","Above average","Earl Warren Middle School","https://www.greatschools.org/california/solana-beach/6092-Earl-Warren-Middle-School/","155 Stevens Avenue, Solana Beach, CA, 92075","Public district","7-8","653","26:1","San Dieguito Union High School District"
"8","/10","Above average","Skyline Elementary School","https://www.greatschools.org/california/solana-beach/6272-Skyline-Elementary-School/","606 Lomas Santa Fe Drive, Solana Beach, CA, 92075","Public district","K-6","506","19:1","Solana Beach Elementary School District"
"","","Currently unrated","School Of Universal Learning (Soul)","https://www.greatschools.org/california/solana-beach/32699-School-Of-Universal-Learning-Soul/","533 Lomas Santa Fe Drive, Solana Beach, CA, 92075","Public charter","7-12","95","8:1","San Diego County Office Of Education School District"
