"circle-rating--small","rating-circle-small","scale","name","address","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 6","tablescraper-selected-row href 2"
"7","/10","Above average","The Heights Charter","2710 Alpine Boulevard, Suite E, Alpine, CA, 91901","K-8","244","15:1","https://www.greatschools.org/california/alpine/27073-The-Heights-Charter/#Reviews","Dehesa Elementary School District","https://www.greatschools.org/california/alpine/dehesa-elementary-school-district/"
"6","/10","Average","Boulder Oaks Elementary School","2320 Tavern Road, Alpine, CA, 91901","1-5","333","24:1","https://www.greatschools.org/california/alpine/5786-Boulder-Oaks-Elementary-School/reviews/","Alpine Union Elementary School District","https://www.greatschools.org/california/alpine/alpine-union-elementary-school-district/"
"6","/10","Average","Joan Macqueen Middle School","2001 Tavern Road, Alpine, CA, 91901","6-8","438","20:1","https://www.greatschools.org/california/alpine/5787-Joan-Macqueen-Middle-School/reviews/","Alpine Union Elementary School District","https://www.greatschools.org/california/alpine/alpine-union-elementary-school-district/"
"6","/10","Average","Shadow Hills Elementary School","8770 Harbison Canyon Road, Alpine, CA, 91901","K-5","387","20:1","https://www.greatschools.org/california/alpine/5788-Shadow-Hills-Elementary-School/reviews/","Alpine Union Elementary School District","https://www.greatschools.org/california/alpine/alpine-union-elementary-school-district/"
"4","/10","Below average","Alpine Elementary School","1850 Alpine Boulevard, Alpine, CA, 91901","1-5","158","20:1","https://www.greatschools.org/california/alpine/5785-Alpine-Elementary-School/reviews/","Alpine Union Elementary School District","https://www.greatschools.org/california/alpine/alpine-union-elementary-school-district/"
"","","Currently unrated","Mountain View Learning Academy","8770 Harbison Canyon Road, Alpine, CA, 91901","K-8","67","26:1","https://www.greatschools.org/california/alpine/11095-Mountain-View-Learning-Academy/#Reviews","Alpine Union Elementary School District","https://www.greatschools.org/california/alpine/alpine-union-elementary-school-district/"
"","","Currently unrated","Creekside Early Learning Center","8818 Harbison Canyon Road, Alpine, CA, 91901","K","229","19:1","https://www.greatschools.org/california/alpine/12033-Creekside-Early-Learning-Center/#Reviews","Alpine Union Elementary School District","https://www.greatschools.org/california/alpine/alpine-union-elementary-school-district/"
